,Actual Load
2024-06-03 05:30:00+02:00,43134.0
2024-06-03 05:45:00+02:00,44744.0
2024-06-03 06:00:00+02:00,47920.0
2024-06-03 06:15:00+02:00,49606.0
2024-06-03 06:30:00+02:00,51117.0
2024-06-03 06:45:00+02:00,52414.0
2024-06-03 07:00:00+02:00,54160.0
2024-06-03 07:15:00+02:00,55505.0
2024-06-03 07:30:00+02:00,56680.0
2024-06-03 07:45:00+02:00,57674.0
2024-06-03 08:00:00+02:00,58570.0
2024-06-03 08:15:00+02:00,59278.0
2024-06-03 08:30:00+02:00,60023.0
2024-06-03 08:45:00+02:00,60312.0
2024-06-03 09:00:00+02:00,60132.0
2024-06-03 09:15:00+02:00,60347.0
2024-06-03 09:30:00+02:00,60782.0
2024-06-03 09:45:00+02:00,61094.0
2024-06-03 10:00:00+02:00,61242.0
2024-06-03 10:15:00+02:00,61462.0
2024-06-03 10:30:00+02:00,61898.0
2024-06-03 10:45:00+02:00,62149.0
2024-06-03 11:00:00+02:00,61965.0
2024-06-03 11:15:00+02:00,62435.0
2024-06-03 11:30:00+02:00,62690.0
2024-06-03 11:45:00+02:00,62459.0
2024-06-03 12:00:00+02:00,61478.0
2024-06-03 12:15:00+02:00,61247.0
2024-06-03 12:30:00+02:00,61720.0
2024-06-03 12:45:00+02:00,61603.0
2024-06-03 13:00:00+02:00,61404.0
2024-06-03 13:15:00+02:00,60668.0
2024-06-03 13:30:00+02:00,60769.0
2024-06-03 13:45:00+02:00,60012.0
2024-06-03 14:00:00+02:00,59777.0
2024-06-03 14:15:00+02:00,59314.0
2024-06-03 14:30:00+02:00,59259.0
2024-06-03 14:45:00+02:00,58530.0
2024-06-03 15:00:00+02:00,58492.0
2024-06-03 15:15:00+02:00,58266.0
2024-06-03 15:30:00+02:00,58167.0
2024-06-03 15:45:00+02:00,57637.0
2024-06-03 16:00:00+02:00,57296.0
2024-06-03 16:15:00+02:00,57097.0
2024-06-03 16:30:00+02:00,56821.0
2024-06-03 16:45:00+02:00,56828.0
2024-06-03 17:00:00+02:00,57125.0
2024-06-03 17:15:00+02:00,57207.0
2024-06-03 17:30:00+02:00,57158.0
2024-06-03 17:45:00+02:00,57594.0
2024-06-03 18:00:00+02:00,57556.0
2024-06-03 18:15:00+02:00,57241.0
2024-06-03 18:30:00+02:00,57391.0
2024-06-03 18:45:00+02:00,57644.0
2024-06-03 19:00:00+02:00,57230.0
2024-06-03 19:15:00+02:00,57013.0
2024-06-03 19:30:00+02:00,56410.0
2024-06-03 19:45:00+02:00,56383.0
2024-06-03 20:00:00+02:00,55663.0
2024-06-03 20:15:00+02:00,55003.0
2024-06-03 20:30:00+02:00,54391.0
2024-06-03 20:45:00+02:00,53621.0
2024-06-03 21:00:00+02:00,53032.0
2024-06-03 21:15:00+02:00,52319.0
2024-06-03 21:30:00+02:00,52048.0
2024-06-03 21:45:00+02:00,51746.0
2024-06-03 22:00:00+02:00,50818.0
2024-06-03 22:15:00+02:00,50356.0
2024-06-03 22:30:00+02:00,49336.0
2024-06-03 22:45:00+02:00,48690.0
2024-06-03 23:00:00+02:00,47367.0
2024-06-03 23:15:00+02:00,46725.0
2024-06-03 23:30:00+02:00,45881.0
2024-06-03 23:45:00+02:00,45169.0
2024-06-04 00:00:00+02:00,44423.0
2024-06-04 00:15:00+02:00,43853.0
2024-06-04 00:30:00+02:00,43039.0
2024-06-04 00:45:00+02:00,42531.0
2024-06-04 01:00:00+02:00,42370.0
2024-06-04 01:15:00+02:00,42334.0
2024-06-04 01:30:00+02:00,42214.0
2024-06-04 01:45:00+02:00,41997.0
2024-06-04 02:00:00+02:00,41940.0
2024-06-04 02:15:00+02:00,41578.0
2024-06-04 02:30:00+02:00,41460.0
2024-06-04 02:45:00+02:00,41383.0
2024-06-04 03:00:00+02:00,41478.0
2024-06-04 03:15:00+02:00,41194.0
2024-06-04 03:30:00+02:00,41580.0
2024-06-04 03:45:00+02:00,41538.0
2024-06-04 04:00:00+02:00,41982.0
2024-06-04 04:15:00+02:00,42220.0
2024-06-04 04:30:00+02:00,42638.0
2024-06-04 04:45:00+02:00,43220.0
2024-06-04 05:00:00+02:00,43463.0
2024-06-04 05:15:00+02:00,43795.0
2024-06-04 05:30:00+02:00,44897.0
2024-06-04 05:45:00+02:00,46103.0
2024-06-04 06:00:00+02:00,48612.0
2024-06-04 06:15:00+02:00,50824.0
2024-06-04 06:30:00+02:00,52058.0
2024-06-04 06:45:00+02:00,53245.0
2024-06-04 07:00:00+02:00,54373.0
2024-06-04 07:15:00+02:00,55398.0
2024-06-04 07:30:00+02:00,56299.0
2024-06-04 07:45:00+02:00,57180.0
2024-06-04 08:00:00+02:00,57862.0
2024-06-04 08:15:00+02:00,58370.0
2024-06-04 08:30:00+02:00,58828.0
2024-06-04 08:45:00+02:00,59487.0
2024-06-04 09:00:00+02:00,58754.0
2024-06-04 09:15:00+02:00,59058.0
2024-06-04 09:30:00+02:00,59338.0
2024-06-04 09:45:00+02:00,59563.0
2024-06-04 10:00:00+02:00,58520.0
2024-06-04 10:15:00+02:00,58874.0
2024-06-04 10:30:00+02:00,59132.0
2024-06-04 10:45:00+02:00,58638.0
2024-06-04 11:00:00+02:00,58593.0
2024-06-04 11:15:00+02:00,58903.0
2024-06-04 11:30:00+02:00,59755.0
2024-06-04 11:45:00+02:00,59778.0
2024-06-04 12:00:00+02:00,58423.0
2024-06-04 12:15:00+02:00,58475.0
2024-06-04 12:30:00+02:00,58937.0
2024-06-04 12:45:00+02:00,58944.0
2024-06-04 13:00:00+02:00,58932.0
2024-06-04 13:15:00+02:00,58469.0
2024-06-04 13:30:00+02:00,57930.0
2024-06-04 13:45:00+02:00,57513.0
2024-06-04 14:00:00+02:00,57241.0
2024-06-04 14:15:00+02:00,56950.0
2024-06-04 14:30:00+02:00,56786.0
2024-06-04 14:45:00+02:00,56334.0
2024-06-04 15:00:00+02:00,56465.0
2024-06-04 15:15:00+02:00,55859.0
2024-06-04 15:30:00+02:00,55736.0
2024-06-04 15:45:00+02:00,55899.0
2024-06-04 16:00:00+02:00,55713.0
2024-06-04 16:15:00+02:00,55187.0
2024-06-04 16:30:00+02:00,55556.0
2024-06-04 16:45:00+02:00,54977.0
2024-06-04 17:00:00+02:00,55302.0
2024-06-04 17:15:00+02:00,55293.0
2024-06-04 17:30:00+02:00,55016.0
2024-06-04 17:45:00+02:00,55254.0
2024-06-04 18:00:00+02:00,55675.0
2024-06-04 18:15:00+02:00,55770.0
2024-06-04 18:30:00+02:00,55603.0
2024-06-04 18:45:00+02:00,55704.0
2024-06-04 19:00:00+02:00,56085.0
2024-06-04 19:15:00+02:00,55471.0
2024-06-04 19:30:00+02:00,55313.0
2024-06-04 19:45:00+02:00,55079.0
2024-06-04 20:00:00+02:00,54641.0
2024-06-04 20:15:00+02:00,54441.0
2024-06-04 20:30:00+02:00,54156.0
2024-06-04 20:45:00+02:00,53772.0
2024-06-04 21:00:00+02:00,52943.0
2024-06-04 21:15:00+02:00,52782.0
2024-06-04 21:30:00+02:00,52304.0
2024-06-04 21:45:00+02:00,52060.0
2024-06-04 22:00:00+02:00,51225.0
2024-06-04 22:15:00+02:00,50847.0
2024-06-04 22:30:00+02:00,49892.0
2024-06-04 22:45:00+02:00,48756.0
2024-06-04 23:00:00+02:00,46926.0
2024-06-04 23:15:00+02:00,46486.0
2024-06-04 23:30:00+02:00,45595.0
2024-06-04 23:45:00+02:00,45255.0
2024-06-05 00:00:00+02:00,44280.0
2024-06-05 00:15:00+02:00,43604.0
